Sexo,Estado civil,Mora com quem,Qualidade,Classificacao,Confianca,Facilidade ,Especificacoes do produto e servico,O nivel de confianca e popularidade da loja,Produto ou servico defeituoso,Prejudicado ao adquirir algum produto ou servico,Comprou produto ou servico pelas lojas de redes sociais,Ja comprou por sites de desapego,Prefere comprar online,Utiliza aplicativos para realizar compras,Qual o meio de pagamento voce mais utiliza,Leva em consideracao o prazo de entrega,Utiliza algum servico de backup,Utiliza algum aplicativo para realizar transacoes bancarias ou efetuar pagamentos,Ja comprou algum curso online,Servico de manutencao ou instalacao,Servico de delivery
True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,True
True,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False
True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,False,True
True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,False
True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True
True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True
False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True
False,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,True,True
True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False
True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True
True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True
False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True
False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True
False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,True
True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False
True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,True
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True
False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True
False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True
False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True
True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False
True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False
False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True
True,False,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True
False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False
False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True
False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True
False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True
